"","V1","V2"
"116","ClC(=O)[C@]12OC(=O)[C@](C1(C)C)(CC2)C","21286"
"117","ClC(=O)[C@H]1[C@@H](C1)c1ccccc1","134309"
"118","ClC(=O)[C@@]12OC(=O)[C@@](C1(C)C)(CC2)C","226173"
"119","ClC(=O)C1(c2c(cccc2)c2c1cccc2)C","745022"
"120","ClC(=O)c1c(cc(cc1C)C)C","682519"
"121","ClC(=O)c1c(cc(cc1)OC)OC","373834"
"122","ClC(=O)c1c(ccc(c1)OCC)OCC","638986"
"123","ClC(=O)c1c(cccc1OC)OC","262420"
"124","ClC(=O)c1c(cccc1)C(=O)Cl","P40409"
"125","ClC(=O)c1c(cccc1)C(=O)OC","672769"
"126","ClC(=O)c1c(cccc1)CC","687928"
"127","ClC(=O)c1c(cccc1)COC(=O)c1ccccc1","13032"
"128","ClC(=O)c1c(cccc1)C","122017"
"129","ClC(=O)c1c(cccc1)[N+](=O)[O-]","322717"
"130","ClC(=O)c1c(cccc1)OC(=O)C","165190"
"131","ClC(=O)c1c(cccc1)OCC","638978"
"132","ClC(=O)c1c(cccc1)OCc1ccccc1","707597"
"133","ClC(=O)c1c(cccc1)OC","254703"
"134","ClC(=O)c1c(oc(c1)C)C","530638"
"135","ClC(=O)c1c(occ1)C","678597"
"136","ClC(=O)c1cc(c(c(c1)OC)OC)OC","T69809"
"137","ClC(=O)c1cc(c(cc1)C)[N+](=O)[O-]","428949"
"138","ClC(=O)c1cc(c(cc1)OC)OC","258040"
"139","ClC(=O)c1cc(cc(c1)C(=O)Cl)C(=O)Cl","147532"
"140","ClC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]","156272"
"141","ClC(=O)c1cc(cc(c1)OCC)OCC","634913"
"142","ClC(=O)c1cc(cc(c1)OC)OC","161713"
"143","ClC(=O)c1cc(ccc1)C#N","302538"
"144","ClC(=O)c1cc(ccc1)C(=O)Cl","I19403"
"145","ClC(=O)c1cc(ccc1)C(=O)OC","672106"
"146","ClC(=O)c1cc(ccc1)C","122254"
"147","ClC(=O)c1cc(ccc1)c1ccccc1","709913"
"148","ClC(=O)c1cc(ccc1)N=C=O","478504"
"149","ClC(=O)c1cc(ccc1)[N+](=O)[O-]","127663"
"150","ClC(=O)c1cc(ccc1)OC(=O)C","740462"
"151","ClC(=O)c1cc(ccc1)OCc1ccccc1","707600"
"152","ClC(=O)c1cc(ccc1)OC","230243"
"153","ClC(=O)c1ccc(cc1)C#CC#N","807745"
"154","ClC(=O)c1ccc(cc1)C#N","124826"
"155","ClC(=O)c1ccc(cc1)C(=O)Cl","120871"
"156","ClC(=O)c1ccc(cc1)C(=O)OC","671673"
"157","ClC(=O)c1ccc(cc1)C(C)(C)C","157120"
"158","ClC(=O)c1ccc(cc1)CCCCCCC","222054"
"159","ClC(=O)c1ccc(cc1)CCCCCC","222097"
"160","ClC(=O)c1ccc(cc1)CCCCC","222143"
"161","ClC(=O)c1ccc(cc1)CCCC","222038"
"162","ClC(=O)c1ccc(cc1)CC","283509"
"163","ClC(=O)c1ccc(cc1)C","106631"
"164","ClC(=O)c1ccc(cc1)c1ccccc1","161144"
"165","ClC(=O)c1ccc(cc1)N(C)C","526118"
"166","ClC(=O)c1ccc(cc1)N=C=O","375039"
"167","ClC(=O)c1ccc(cc1)/N=N/c1ccccc1","173452"
